Date;Num1;Num2;Num3;Num4;Num5
29/06/2025;19;20;4;66;8
30/06/2025;74;77;32;90;30
01/07/2025;47;71;24;46;85
02/07/2025;6;67;85;15;13
03/07/2025;2;50;52;56;18
04/07/2025;8;39;13;59;47
05/07/2025;69;85;28;89;90
06/07/2025;53;79;25;5;9
07/07/2025;79;39;21;80;29
08/07/2025;58;8;80;54;32
09/07/2025;46;40;54;84;59
10/07/2025;62;9;25;40;88
11/07/2025;84;55;31;35;73
12/07/2025;44;48;32;49;87
13/07/2025;83;86;3;19;69
14/07/2025;75;43;68;51;14
15/07/2025;15;66;8;68;9
16/07/2025;84;25;58;45;6
17/07/2025;29;65;58;85;48
18/07/2025;20;22;24;64;2
19/07/2025;3;33;62;88;76
20/07/2025;23;27;84;81;12
21/07/2025;73;56;60;39;88
22/07/2025;86;35;15;45;53
23/07/2025;41;85;49;59;90
24/07/2025;34;51;86;37;59
25/07/2025;30;24;4;69;62
26/07/2025;77;9;79;85;17
27/07/2025;3;83;56;67;25
28/07/2025;5;54;67;17;43
29/07/2025;61;6;69;81;85
30/07/2025;7;40;38;2;87
